,product,number_of_order
0,Bed Bath Table,11115
1,Health Beauty,9670
2,Sports Leisure,8641
3,Furniture Decor,8334
4,Computers Accessories,7827
5,Housewares,6964
6,Watches Gifts,5991
7,Telephony,4545
8,Garden Tools,4347
9,Automotif,4235
10,Toys,4117
11,Cool Stuff,3796
12,Perfumery,3419
13,Baby,3064
14,Electronics,2767
15,Stationery,2517
16,Fashion Bags Accessories,2031
17,Pet Shop,1947
18,Office Furniture,1691
19,Consoles Games,1137
20,Luggage Accessories,1092
21,Construction Tools Construction,929
22,Home Appliances,771
23,Musical Instruments,680
24,Small Appliances,679
25,Home Construction,604
26,Books General Interest,553
27,Food,510
28,Furniture Living Room,503
29,Home Confort,434
30,Drinks,379
31,Audio,364
32,Market Place,311
33,Construction Tools Lights,304
34,Air Conditioning,297
35,Kitchen Dining Laundry Garden Furniture,281
36,Food Drink,278
37,Industry Commerce And Business,268
38,Books Technical,267
39,Fixed Telephony,264
40,Fashion Shoes,262
41,Home Appliances 2,238
42,Costruction Tools Garden,238
43,Agro Industry And Commerce,212
44,Art,209
45,Computers,203
46,Signaling And Security,199
47,Construction Tools Safety,194
48,Christmas Supplies,153
49,Fashion Male Clothing,132
50,Fashion Underwear Beach,131
51,Furniture Bedroom,109
52,Costruction Tools Tools,103
53,Tablets Printing Image,83
54,Small Appliances Home Oven And Coffee,76
55,Cine Photo,72
56,Dvds Blu Ray,64
57,Books Imported,60
58,Fashio Female Clothing,48
59,Party Supplies,43
60,Diapers And Hygiene,39
61,Music,38
62,Furniture Mattress And Upholstery,38
63,Flowers,33
64,Fashion Sport,30
65,Home Comfort 2,30
66,Portable Kitchen And Food Preparation Devices,24
67,Arts And Craftmanship,24
68,Cds Dvds Musicals,14
69,La Cuisine,14
70,Fashion Childrens Clothes,8
71,Security And Services,2
